Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Chris Shaw,Giants,17738,5,21,19,5,1,0,1,2,3,1,6,0,0,0,0.238,0.292,0.418,0.71,0.299,-0.2,0,0,999
Charlie Tilson,Pirates,12983,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.251,0.302,0.333,0.635,0.276,0,0,0,999
Steve Wilkerson,,16041,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.229,0.285,0.349,0.633,0.273,0,0,0,999
Eli White,Rangers,sa738478,5,21,19,4,1,0,0,2,2,1,6,0,0,0,0.233,0.298,0.353,0.651,0.282,-0.1,0,0,600.1
Jesus Sanchez,Marlins,sa872787,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.238,0.287,0.368,0.655,0.28,0.1,0,0,999
Nick Heath,Royals,sa918355,3,14,13,3,0,0,0,1,1,1,5,0,1,0,0.215,0.282,0.311,0.592,0.26,0,0,0,594.5
Juan Centeno,Red Sox,7168,3,13,12,3,1,0,0,1,1,1,2,0,0,0,0.246,0.297,0.344,0.642,0.277,-0.1,0,0,999
Rocky Gale,,10533,3,13,12,3,0,0,0,1,1,1,3,0,0,0,0.22,0.256,0.298,0.554,0.24,0.1,0,0,999
Charlie Culberson,Braves,3298,19,64,59,14,3,0,2,7,7,3,17,1,1,0,0.239,0.284,0.383,0.667,0.282,0.2,0,0,999
Sergio Alcantara,Tigers,sa739641,5,21,19,4,1,0,0,2,1,2,4,0,0,0,0.233,0.295,0.293,0.588,0.261,0.1,0,0,999
Richard Urena,Orioles,16411,5,21,20,5,1,0,0,2,2,1,5,0,0,0,0.235,0.272,0.343,0.616,0.263,0.1,0,0,999
Jose Siri,Mariners,sa736940,3,14,13,3,0,0,0,1,1,1,5,0,1,0,0.2,0.252,0.331,0.582,0.249,0,0,0,999
Matt Kemp,Marlins,5631,3,14,13,3,1,0,1,1,2,1,3,0,0,0,0.251,0.295,0.43,0.725,0.302,-0.3,0,0,999
Jorge Mateo,Athletics,sa657910,16,70,66,15,3,1,1,7,7,3,20,0,3,1,0.226,0.266,0.367,0.633,0.267,0,0,0,999
Ronnie Dawson,Astros,sa873674,3,14,13,3,0,0,0,1,1,1,5,0,0,0,0.2,0.269,0.334,0.604,0.261,-0.1,0,0,999
Corey Ray,Brewers,sa738510,2,7,6,1,0,0,0,1,1,1,3,0,0,0,0.199,0.266,0.354,0.619,0.264,0,0,0,999
Andrew Stevenson,Nationals,17932,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.248,0.302,0.349,0.651,0.281,-0.1,0,0,999
Joe McCarthy,Giants,sa858039,5,21,18,4,1,0,0,2,2,2,6,0,0,0,0.214,0.303,0.347,0.65,0.284,-0.1,0,0,999
Andrew Knapp,Phillies,14942,23,90,78,17,4,0,2,9,7,10,29,1,0,0,0.214,0.307,0.337,0.645,0.281,-1,0.1,0,600.4
Mickey Moniak,Phillies,sa917920,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.228,0.27,0.362,0.632,0.268,-0.1,0,0,999
C.J. Chatham,Red Sox,sa873984,16,70,66,17,3,0,1,7,6,3,15,0,1,0,0.263,0.294,0.358,0.652,0.279,0,0,0,999
Kevin Kramer,Pirates,17689,23,78,70,17,4,0,2,8,8,6,21,1,1,1,0.236,0.299,0.369,0.667,0.286,0,-0.1,0,999
Drew Robinson,,11761,3,14,12,2,1,0,0,1,1,1,5,0,0,0,0.201,0.289,0.346,0.634,0.275,0,0,0,999
Greg Allen,Indians,16623,42,182,163,40,7,1,3,21,17,11,40,5,7,3,0.243,0.309,0.357,0.666,0.288,1,0.3,0,595.5
Brendan McKay,Rays,20186,3,14,12,3,0,0,0,1,1,1,4,0,0,0,0.208,0.291,0.355,0.646,0.28,0,0,0,279.9
Harold Castro,Tigers,14691,10,42,40,10,1,0,1,4,4,1,9,0,1,0,0.262,0.286,0.352,0.639,0.273,0,-0.1,0,599.1
Richie Martin Jr.,Orioles,17736,15,63,57,13,2,1,1,6,5,4,15,1,2,1,0.225,0.281,0.341,0.623,0.269,0,0,0,600
Evan White,Mariners,sa915774,130,560,515,124,20,2,19,62,64,36,139,4,3,1,0.24,0.293,0.4,0.692,0.293,1.2,0.2,0,999
Josh Harrison,Phillies,8202,52,172,157,39,7,1,4,19,16,9,33,4,3,1,0.245,0.297,0.375,0.672,0.287,-0.2,0.3,0,999
Steve Pearce,,9957,11,49,43,10,2,0,2,5,6,4,12,1,0,0,0.227,0.307,0.391,0.697,0.299,0,-0.1,0,999
Chris Owings,,10030,13,36,33,8,2,0,1,4,4,2,10,0,1,0,0.249,0.299,0.402,0.701,0.296,0,0.1,0,999
Arquimedes Gamboa,Phillies,sa877497,3,14,12,2,0,0,0,1,1,1,4,0,0,0,0.185,0.268,0.269,0.537,0.241,0,0,0,999
Isiah Kiner-Falefa,Rangers,16512,19,83,75,19,4,0,1,8,7,6,15,1,1,1,0.251,0.314,0.349,0.663,0.289,-0.5,0,0,598
Adam Engel,White Sox,15082,32,140,127,28,6,1,3,15,13,8,41,3,4,2,0.218,0.279,0.346,0.625,0.27,0.8,0.3,0,999
Blake Swihart,Rangers,13176,3,14,13,3,0,0,0,2,1,1,4,0,0,0,0.211,0.282,0.339,0.622,0.27,0,0,0,999
Miguel Cabrera,Tigers,1744,130,560,501,135,24,0,15,53,65,51,111,3,0,0,0.27,0.338,0.408,0.746,0.318,0,-3.4,0,482.6
Lewin Diaz,Marlins,sa828420,11,49,46,11,2,0,2,5,5,2,10,0,0,0,0.236,0.276,0.412,0.688,0.286,0.2,0,0,599.7
Sam Travis,Rangers,16263,10,42,38,10,2,0,1,5,4,3,10,0,0,0,0.259,0.321,0.399,0.72,0.308,0,0,-0.1,999
Buddy Reed,,sa738683,6,28,26,5,1,0,1,3,3,2,9,0,1,1,0.202,0.258,0.322,0.58,0.249,0,0,-0.1,999
Hanley Ramirez,,8001,32,140,125,30,5,0,6,16,19,13,33,2,1,1,0.238,0.313,0.426,0.74,0.312,-0.3,-0.5,-0.1,999
Braden Bishop,Mariners,17806,28,119,108,24,5,0,2,12,10,8,29,1,1,1,0.223,0.286,0.325,0.611,0.267,1,0,-0.1,999
Monte Harrison,Marlins,sa828691,32,140,127,28,5,1,4,14,13,10,47,2,6,2,0.217,0.283,0.356,0.639,0.276,0,0.4,-0.1,999
Carlos Gonzalez,,7287,44,189,170,38,8,0,6,21,20,16,51,1,1,1,0.226,0.293,0.384,0.676,0.287,-0.3,-0.1,-0.1,600.6
Kyle Lewis,Mariners,19508,109,469,429,99,20,1,14,47,50,33,142,2,2,1,0.23,0.287,0.381,0.668,0.284,0.7,0.1,-0.1,488.6
Jorge Bonifacio,Tigers,12174,18,77,70,16,3,0,2,9,8,6,21,1,1,0,0.23,0.292,0.39,0.683,0.29,0,0,-0.1,999
Melky Cabrera,,4022,44,189,176,49,10,1,4,20,22,10,23,1,1,0,0.278,0.319,0.414,0.733,0.31,-0.9,-0.5,-0.1,600.1
Mark Trumbo,,6876,36,154,142,34,6,0,8,18,22,11,41,1,0,0,0.237,0.291,0.449,0.74,0.31,-0.7,-0.2,-0.1,999
Michael Hermosillo,Angels,16285,24,105,94,20,3,1,3,12,11,8,33,3,3,1,0.213,0.288,0.361,0.648,0.28,-0.2,-0.1,-0.1,999
Mark Reynolds,,7619,23,98,86,19,4,0,4,11,13,10,31,1,1,0,0.221,0.306,0.4,0.706,0.302,-0.1,-0.2,-0.1,999
Jon Jay,Diamondbacks,5227,39,128,116,31,6,1,1,14,9,7,23,3,1,0,0.268,0.322,0.345,0.666,0.291,-0.3,0,-0.1,999
Anthony Alford,Blue Jays,14329,32,140,126,27,6,0,3,15,12,10,44,2,6,2,0.216,0.284,0.337,0.621,0.27,-0.1,0.2,-0.1,599.8
Lucas Duda,,2502,26,112,99,22,5,0,5,12,16,10,33,2,0,0,0.219,0.298,0.418,0.716,0.3,-0.1,-0.3,-0.1,999
Seth Brown,Athletics,18171,39,168,154,35,7,1,5,19,20,11,50,1,2,1,0.227,0.281,0.392,0.673,0.285,0,0,-0.1,595.1
Ian Desmond,Rockies,6885,102,341,310,80,15,3,12,43,45,25,83,3,6,3,0.26,0.318,0.443,0.761,0.32,-2.7,0.1,-0.2,557.5
Josh Fuentes,Rockies,16885,45,136,127,33,7,1,4,15,16,6,35,1,1,1,0.259,0.295,0.422,0.718,0.301,0.6,-0.1,-0.2,999
Austin Jackson,,9848,16,70,63,15,3,0,1,7,6,5,20,0,1,0,0.238,0.3,0.343,0.644,0.279,-1.1,-0.1,-0.2,999
Drew Butera,,3411,31,122,109,26,6,1,3,13,13,10,29,1,1,0,0.238,0.307,0.375,0.682,0.293,-0.9,-0.1,-0.2,999
Jonathan Arauz,Red Sox,sa877498,28,119,110,24,5,1,2,12,12,7,25,1,1,1,0.223,0.276,0.352,0.629,0.27,-0.5,-0.2,-0.2,999
Adolis Garcia,Rangers,19287,44,189,176,41,9,1,8,23,25,8,57,3,4,2,0.232,0.274,0.426,0.699,0.292,0,-0.2,-0.2,599.6
Bubba Starling,Royals,13356,36,154,143,32,7,0,3,15,13,8,40,1,2,1,0.223,0.27,0.34,0.61,0.262,-0.1,0.1,-0.3,600.6
Erik Gonzalez,Pirates,13369,66,227,212,51,10,2,4,22,20,10,61,1,4,2,0.242,0.279,0.363,0.641,0.27,-0.5,-0.1,-0.3,999
Magneuris Sierra,Marlins,17023,50,157,147,36,5,2,1,14,12,7,29,1,6,3,0.246,0.283,0.333,0.616,0.265,-0.2,0.2,-0.3,600.9
Albert Pujols,Angels,1177,112,483,443,110,18,0,19,52,72,32,66,3,2,0,0.248,0.3,0.416,0.717,0.302,-1.9,-2.4,-0.3,539.1
Lewis Brinson,Marlins,14352,65,280,256,55,11,2,7,26,28,18,83,4,5,2,0.215,0.275,0.358,0.632,0.27,-0.1,0.2,-0.3,594.9
Sam Hilliard,Rockies,17954,78,336,305,74,13,3,13,40,41,26,107,2,11,5,0.243,0.303,0.428,0.731,0.308,-0.2,-0.1,-0.4,270.8
Jeff Mathis,Rangers,3448,58,230,211,42,9,0,3,18,16,16,78,1,1,0,0.197,0.255,0.28,0.534,0.233,1.3,-0.4,-0.5,999
Chris Davis,Orioles,9272,86,371,325,62,10,0,15,38,44,39,143,4,1,0,0.192,0.283,0.367,0.65,0.279,-0.3,-0.1,-0.8,592.2
